"Activity Name","Course Code","Activity Host Key","Actvity Type","Day Name","Start Time","End Time","Location Name"
"MATH1 ILA tutorial/35","MATH08057_SV1_SEM1","#SPLUS1BB1F0","Tutorial","Tuesday","17:10","18:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/36","MATH08057_SV1_SEM1","#SPLUS1BB21C","Tutorial","Wednesday","9:00","9:50","M2 - Teaching Studio"
"MATH1 ILA tutorial/37","MATH08057_SV1_SEM1","#SPLUS1BB21E","Tutorial","Wednesday","10:00","10:50","M2 - Teaching Studio"
"MATH1 ILA tutorial/38","MATH08057_SV1_SEM1","#SPLUS1BB220","Tutorial","Wednesday","11:10","12:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/39","MATH08057_SV1_SEM1","#SPLUS1BB235","Tutorial","Wednesday","11:10","12:00","Lecture Theatre 2"
"MATH1 ILA tutorial/40","MATH08057_SV1_SEM1","#SPLUS1BB222","Tutorial","Wednesday","12:10","13:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/41","MATH08057_SV1_SEM1","#SPLUS1BB224","Tutorial","Monday","14:10","15:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/43","MATH08057_SV1_SEM1","#SPLUS1BB23E","Tutorial","Monday","16:10","17:00","Lecture Theatre 2"
"MATH1 ILA tutorial/44","MATH08057_SV1_SEM1","#SPLUS1BB240","Tutorial","Monday","17:10","18:00","Lecture Theatre 2"
"MATH1 ILA tutorial/46","MATH08057_SV1_SEM1","#SPLUS1BB1F6","Tutorial","Tuesday","11:10","12:00","Lecture Theatre 2"
"MATH1 ILA tutorial/47","MATH08057_SV1_SEM1","#SPLUS1BB200","Tutorial","Tuesday","17:10","18:00","Lecture Theatre 2"
"MATH1 ILA tutorial/48","MATH08057_SV1_SEM1","#SPLUS1BB1FE","Tutorial","Tuesday","16:10","17:00","Lecture Theatre 2"
"MATH1 ILA tutorial/49","MATH08057_SV1_SEM1","#SPLUS1BB1FA","Tutorial","Tuesday","14:10","15:00","Lecture Theatre 2"
"MATH1 ILA tutorial/50","MATH08057_SV1_SEM1","#SPLUS1BB1E8","Tutorial","Tuesday","12:10","13:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/51","MATH08057_SV1_SEM1","#SPLUS1BB1EC","Tutorial","Tuesday","15:10","16:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/52","MATH08057_SV1_SEM1","#SPLUS1BB1EA","Tutorial","Tuesday","14:10","15:00","M2 - Teaching Studio"
"MATH1 ILA tutorial/53","MATH08057_SV1_SEM1","#SPLUS1BB1F4","Tutorial","Tuesday","10:00","10:50","Lecture Theatre 2"
"MATH1 ILA tutorial/54","MATH08057_SV1_SEM1","#SPLUS1BB1F8","Tutorial","Tuesday","12:10","13:00","Lecture Theatre 2"
"MATH1 ILA tutorial/55","MATH08057_SV1_SEM1","#SPLUS1BB1FC","Tutorial","Tuesday","15:10","16:00","Lecture Theatre 2"
"MATH1 ILA tutorial/57","MATH08057_SV1_SEM1","#SPLUS1BB239","Tutorial","Wednesday","12:10","13:00","Lecture Theatre 2"
"MATH1 ILA tutorial/58","MATH08057_SV1_SEM1","#SPLUS1BB231","Tutorial","Wednesday","10:00","10:50","Lecture Theatre 2"
"MATH1 ILA tutorial/59","MATH08057_SV1_SEM1","#SPLUS1BB22C","Tutorial","Wednesday","9:00","9:50","Lecture Theatre 2"
"MATH1 ILA tutorial/60","MATH08057_SV1_SEM1","#SPLUS1BB22A","Tutorial","Monday","17:10","18:00","M2 - Teaching Studio"
"MATH2 AAC - Tut (Online)/01","MATH08062_SS1_SEM1","#SPLUSE99797","Tutorial - Online Live","Monday","10:30","11:30",""
"MATH2 AAC - Tut (Suite 2)/02","MATH08062_SS1_SEM1","#SPLUSE99792","Tutorial","Monday","10:30","11:30","1501"
"MATH2 AAC - Tut (Suite 2)/03","MATH08062_SS1_SEM1","#SPLUSE9978E","Tutorial","Monday","10:30","11:30","3217 - Teaching Studio"
"MATH2 AAC - Tut (Suite 2)/04","MATH08062_SS1_SEM1","#SPLUSD98A1B","Tutorial","Monday","10:30","11:30","3217 - Teaching Studio"
"MATH2 Acc Alg & Calc - Office hours","MATH08062_SS1_SEM1","#SPLUS1BB6AA","Activity - Online Live","Friday","13:10","14:00",""
"MATH2 SVCDE - Tut (Online)/01","MATH08063_SV1_SEM1","#SPLUSE99704","Tutorial - Online Live","Monday","9:00","9:50",""
"MATH2 SVCDE - Tut (Online)/02","MATH08063_SV1_SEM1","#SPLUSE99706","Tutorial - Online Live","Monday","10:30","11:30",""
"MATH2 SVCDE - Tut (Online)/03","MATH08063_SV1_SEM1","#SPLUSE99708","Tutorial - Online Live","Monday","12:10","13:00",""
"MATH2 SVCDE - Tut (Online)/04","MATH08063_SV1_SEM1","#SPLUSE9970A","Tutorial - Online Live","Monday","14:10","15:00",""
"MATH2 SVCDE - Tut (Online)/05","MATH08063_SV1_SEM1","#SPLUSE9970C","Tutorial - Online Live","Monday","15:30","16:30",""
"MATH2 SVCDE - Tut (Online)/06","MATH08063_SV1_SEM1","#SPLUS9BDD45","Tutorial - Online Live","Monday","17:10","18:00",""
"MATH2 SVCDE - Tut (Suite 1)/07","MATH08063_SV1_SEM1","#SPLUSE996BA","Tutorial","Monday","10:30","11:30","5205"
"MATH2 SVCDE - Tut (Suite 1)/08","MATH08063_SV1_SEM1","#SPLUSE996B1","Tutorial","Monday","10:30","11:30","5326"
"MATH2 SVCDE - Tut (Suite 1)/09","MATH08063_SV1_SEM1","#SPLUSE996B5","Tutorial","Monday","10:30","11:30","5327"
"MATH2 SVCDE - Tut (Suite 1)/10","MATH08063_SV1_SEM1","#SPLUSE996B7","Tutorial","Monday","10:30","11:30","5328"
"MATH2 SVCDE - Tut (Suite 1)/11","MATH08063_SV1_SEM1","#SPLUSE996DF","Tutorial","Monday","15:30","16:30","5326"
"MATH2 SVCDE - Tut (Suite 1)/12","MATH08063_SV1_SEM1","#SPLUSE996E1","Tutorial","Monday","15:30","16:30","5327"
"MATH2 SVCDE - Tut (Suite 1)/13","MATH08063_SV1_SEM1","#SPLUSE996E3","Tutorial","Monday","15:30","16:30","5328"
"MATH2 SVCDE - Tut (Suite 1)/14","MATH08063_SV1_SEM1","#SPLUSE996E5","Tutorial","Monday","15:30","16:30","5205"
"MATH2 SVCDE - Tut (Suite 1)/15","MATH08063_SV1_SEM1","#SPLUSE996ED","Tutorial","Monday","17:10","18:00","5326"
"MATH2 SVCDE - Tut (Suite 1)/16","MATH08063_SV1_SEM1","#SPLUSE996EF","Tutorial","Monday","17:10","18:00","5327"
"MATH2 SVCDE - Tut (Suite 1)/17","MATH08063_SV1_SEM1","#SPLUSE996F1","Tutorial","Monday","17:10","18:00","5328"
"MATH2 SVCDE - Tut (Suite 1)/18","MATH08063_SV1_SEM1","#SPLUSE996F3","Tutorial","Monday","17:10","18:00","5205"
"MATH2 SVCDE - Tut (Suite 2)/19","MATH08063_SV1_SEM1","#SPLUSE996A5","Tutorial","Monday","9:00","9:50","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/20","MATH08063_SV1_SEM1","#SPLUSD98A01","Tutorial","Monday","9:00","9:50","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/21","MATH08063_SV1_SEM1","#SPLUSE996A7","Tutorial","Monday","9:00","9:50","1501"
"MATH2 SVCDE - Tut (Suite 2)/22","MATH08063_SV1_SEM1","#SPLUSE996CA","Tutorial","Monday","12:10","13:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/23","MATH08063_SV1_SEM1","#SPLUSE996C8","Tutorial","Monday","12:10","13:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/24","MATH08063_SV1_SEM1","#SPLUSD98A05","Tutorial","Monday","12:10","13:00","1501"
"MATH2 SVCDE - Tut (Suite 2)/25","MATH08063_SV1_SEM1","#SPLUSE996CC","Tutorial","Monday","14:10","15:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/26","MATH08063_SV1_SEM1","#SPLUSE996CE","Tutorial","Monday","14:10","15:00","1501"
"MATH2 SVCDE - Tut (Suite 2)/27","MATH08063_SV1_SEM1","#SPLUSD98A0A","Tutorial","Monday","14:10","15:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/28","MATH08063_SV1_SEM1","#SPLUSE996F6","Tutorial","Monday","17:10","18:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 2)/29","MATH08063_SV1_SEM1","#SPLUSE996F8","Tutorial","Monday","17:10","18:00","1501"
"MATH2 SVCDE - Tut (Suite 2)/30","MATH08063_SV1_SEM1","#SPLUSD98A0E","Tutorial","Monday","17:10","18:00","3217 - Teaching Studio"
"MATH2 SVCDE - Tut (Suite 3)/31","MATH08063_SV1_SEM1","#SPLUSE996C0","Tutorial","Monday","10:30","11:30","6301"
"MATH2 SVCDE - Tut (Suite 3)/32","MATH08063_SV1_SEM1","#SPLUSE996C2","Tutorial","Monday","10:30","11:30","6201"
"MATH2 SVCDE - Tut (Suite 3)/33","MATH08063_SV1_SEM1","#SPLUSE996C4","Tutorial","Monday","10:30","11:30","6206"
"MATH2 SVCDE - Tut (Suite 3)/34","MATH08063_SV1_SEM1","#SPLUSE996D5","Tutorial","Monday","14:10","15:00","6301"
"MATH2 SVCDE - Tut (Suite 3)/35","MATH08063_SV1_SEM1","#SPLUSE996D7","Tutorial","Monday","14:10","15:00","6201"
"MATH2 SVCDE - Tut (Suite 3)/36","MATH08063_SV1_SEM1","#SPLUSE996D9","Tutorial","Monday","14:10","15:00","6206"
"MATH2 SVCDE - Tut (Suite 3)/37","MATH08063_SV1_SEM1","#SPLUSE996FF","Tutorial","Monday","17:10","18:00","6206"
"MATH2 SVCDE - Tut (Suite 3)/38","MATH08063_SV1_SEM1","#SPLUSE996FB","Tutorial","Monday","17:10","18:00","6301"
"MATH2 SVCDE - Tut (Suite 3)/39","MATH08063_SV1_SEM1","#SPLUSE996FD","Tutorial","Monday","17:10","18:00","6201"
"MATH2 Prob - Tut/01","MATH08066_SV1_SEM1","#SPLUS9BDD34","Tutorial - Online Live","Tuesday","9:00","9:50",""
"MATH2 Prob - Tut/02","MATH08066_SV1_SEM1","#SPLUS9BDD36","Tutorial - Online Live","Tuesday","10:30","11:30",""
"MATH2 Prob - Tut/03","MATH08066_SV1_SEM1","#SPLUS9BDD38","Tutorial - Online Live","Tuesday","12:10","13:00",""
"MATH2 Prob - Tut/04","MATH08066_SV1_SEM1","#SPLUS9BDD3A","Tutorial - Online Live","Tuesday","14:10","15:00",""
"MATH2 FoM - Tut (Online)/01","MATH08068_SV1_SEM1","#SPLUSE99784","Tutorial - Online Live","Monday","12:10","13:00",""
"MATH2 FoM - Tut (Online)/02","MATH08068_SV1_SEM1","#SPLUSE99786","Tutorial - Online Live","Monday","14:10","15:00",""
"MATH2 FoM - Tut (Online)/03","MATH08068_SV1_SEM1","#SPLUSE99788","Tutorial - Online Live","Monday","15:30","16:30",""
"MATH2 FoM - Tut (Suite 1)/04","MATH08068_SV1_SEM1","#SPLUSE99729","Tutorial","Monday","12:10","13:00","5326"
"MATH2 FoM - Tut (Suite 1)/05","MATH08068_SV1_SEM1","#SPLUSE9972B","Tutorial","Monday","12:10","13:00","5327"
"MATH2 FoM - Tut (Suite 1)/06","MATH08068_SV1_SEM1","#SPLUSE9972D","Tutorial","Monday","12:10","13:00","5328"
"MATH2 FoM - Tut (Suite 1)/07","MATH08068_SV1_SEM1","#SPLUSE9972F","Tutorial","Monday","12:10","13:00","5205"
"MATH2 FoM - Tut (Suite 1)/08","MATH08068_SV1_SEM1","#SPLUSE9975C","Tutorial","Monday","14:10","15:00","5326"
"MATH2 FoM - Tut (Suite 1)/09","MATH08068_SV1_SEM1","#SPLUSE9975E","Tutorial","Monday","14:10","15:00","5327"
"MATH2 FoM - Tut (Suite 1)/10","MATH08068_SV1_SEM1","#SPLUSE99760","Tutorial","Monday","14:10","15:00","5328"
"MATH2 FoM - Tut (Suite 1)/11","MATH08068_SV1_SEM1","#SPLUSE99762","Tutorial","Monday","14:10","15:00","5205"
"MATH2 FoM - Tut (Suite 2)/12","MATH08068_SV1_SEM1","#SPLUSE99771","Tutorial","Monday","15:30","16:30","3217 - Teaching Studio"
"MATH2 FoM - Tut (Suite 2)/13","MATH08068_SV1_SEM1","#SPLUSE99773","Tutorial","Monday","15:30","16:30","1501"
"MATH2 FoM - Tut (Suite 2)/14","MATH08068_SV1_SEM1","#SPLUSD98A15","Tutorial","Monday","15:30","16:30","3217 - Teaching Studio"
"MATH2 FoM - Tut (Suite 3)/15","MATH08068_SV1_SEM1","#SPLUSE99754","Tutorial","Monday","12:10","13:00","6301"
"MATH2 FoM - Tut (Suite 3)/16","MATH08068_SV1_SEM1","#SPLUSE99756","Tutorial","Monday","12:10","13:00","6201"
"MATH2 FoM - Tut (Suite 3)/17","MATH08068_SV1_SEM1","#SPLUSE99758","Tutorial","Monday","12:10","13:00","6206"
"MATH2 FoM - Tut (Suite 3)/18","MATH08068_SV1_SEM1","#SPLUSE99778","Tutorial","Monday","15:30","16:30","6301"
"MATH2 FoM - Tut (Suite 3)/19","MATH08068_SV1_SEM1","#SPLUSE9977A","Tutorial","Monday","15:30","16:30","6201"
"MATH2 FoM - Tut (Suite 3)/20","MATH08068_SV1_SEM1","#SPLUSE9977C","Tutorial","Monday","15:30","16:30","6206"
"MATH2 Acc Proofs Problem Solving - Lecture","MATH08071_SS1_SEM1","#SPLUS1BB651","Lecture - Online Live","Thursday","11:10","12:00",""
"MATH2 Acc Proofs Problem Solving - Lecture","MATH08071_SS1_SEM1","#SPLUS1BB64D","Lecture - Online Live","Friday","9:00","9:50",""
"MATH2 APPS - Tutorials/01","MATH08071_SS1_SEM1","#SPLUS9BDCFA","Tutorial - Online Live","Tuesday","9:00","9:50",""
"MATH2 APPS - Tutorials/02","MATH08071_SS1_SEM1","#SPLUS9BDCFC","Tutorial - Online Live","Tuesday","10:30","11:30",""
