"Name","Module Host Key","Host Key","Activity Type Name","Scheduled Days","Scheduled Start Time","Scheduled End Time","Allocated Location Name","Team"
"MATH2 SVCDE - Tut (Suite 2)/21","MATH08063_SV1_SEM1","#SPLUSE996A7","Tutorial","Monday","9:00","9:50","1501","2020-SVCDE-Mon-09:00"
"MATH2 SVCDE - Tut (Suite 2)/22","MATH08063_SV1_SEM1","#SPLUSE996CA","Tutorial","Monday","12:10","13:00","3217 - Teaching Studio","2020-SVCDE-Mon-12:00"
"MATH2 SVCDE - Tut (Suite 2)/23","MATH08063_SV1_SEM1","#SPLUSE996C8","Tutorial","Monday","12:10","13:00","3217 - Teaching Studio","2020-SVCDE-Mon-12:00"
"MATH2 SVCDE - Tut (Suite 2)/24","MATH08063_SV1_SEM1","#SPLUSD98A05","Tutorial","Monday","12:10","13:00","1501","2020-SVCDE-Mon-12:00"
"MATH2 SVCDE - Tut (Suite 2)/25","MATH08063_SV1_SEM1","#SPLUSE996CC","Tutorial","Monday","14:10","15:00","3217 - Teaching Studio","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 2)/26","MATH08063_SV1_SEM1","#SPLUSE996CE","Tutorial","Monday","14:10","15:00","1501","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 2)/27","MATH08063_SV1_SEM1","#SPLUSD98A0A","Tutorial","Monday","14:10","15:00","3217 - Teaching Studio","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 2)/28","MATH08063_SV1_SEM1","#SPLUSE996F6","Tutorial","Monday","17:10","18:00","3217 - Teaching Studio","2020-SVCDE-Mon-17:00"
"MATH2 SVCDE - Tut (Suite 2)/29","MATH08063_SV1_SEM1","#SPLUSE996F8","Tutorial","Monday","17:10","18:00","1501","2020-SVCDE-Mon-17:00"
"MATH2 SVCDE - Tut (Suite 2)/30","MATH08063_SV1_SEM1","#SPLUSD98A0E","Tutorial","Monday","17:10","18:00","3217 - Teaching Studio","2020-SVCDE-Mon-17:00"
"MATH2 SVCDE - Tut (Suite 3)/31","MATH08063_SV1_SEM1","#SPLUSE996C0","Tutorial","Monday","10:30","11:30","6301","2020-SVCDE-Mon-10:30"
"MATH2 SVCDE - Tut (Suite 3)/32","MATH08063_SV1_SEM1","#SPLUSE996C2","Tutorial","Monday","10:30","11:30","6201","2020-SVCDE-Mon-10:30"
"MATH2 SVCDE - Tut (Suite 3)/33","MATH08063_SV1_SEM1","#SPLUSE996C4","Tutorial","Monday","10:30","11:30","6206","2020-SVCDE-Mon-10:30"
"MATH2 SVCDE - Tut (Suite 3)/34","MATH08063_SV1_SEM1","#SPLUSE996D5","Tutorial","Monday","14:10","15:00","6301","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 3)/35","MATH08063_SV1_SEM1","#SPLUSE996D7","Tutorial","Monday","14:10","15:00","6201","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 3)/36","MATH08063_SV1_SEM1","#SPLUSE996D9","Tutorial","Monday","14:10","15:00","6206","2020-SVCDE-Mon-14:00"
"MATH2 SVCDE - Tut (Suite 3)/37","MATH08063_SV1_SEM1","#SPLUSE996FF","Tutorial","Monday","17:10","18:00","6206","2020-SVCDE-Mon-17:00"
"MATH2 SVCDE - Tut (Suite 3)/38","MATH08063_SV1_SEM1","#SPLUSE996FB","Tutorial","Monday","17:10","18:00","6301","2020-SVCDE-Mon-17:00"
"MATH2 SVCDE - Tut (Suite 3)/39","MATH08063_SV1_SEM1","#SPLUSE996FD","Tutorial","Monday","17:10","18:00","6201","2020-SVCDE-Mon-17:00"
"MATH2 FoM - Tut (Online)/01","MATH08068_SV1_SEM1","#SPLUSE99784","Tutorial - Online Live","Monday","12:10","13:00","","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Online)/02","MATH08068_SV1_SEM1","#SPLUSE99786","Tutorial - Online Live","Monday","14:10","15:00","","2020-Facets-Mon-14:00"
"MATH2 FoM - Tut (Online)/03","MATH08068_SV1_SEM1","#SPLUSE99788","Tutorial - Online Live","Monday","15:30","16:30","","2020-Facets-Mon-15:30"
"MATH2 FoM - Tut (Suite 1)/04","MATH08068_SV1_SEM1","#SPLUSE99729","Tutorial","Monday","12:10","13:00","5326","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 1)/05","MATH08068_SV1_SEM1","#SPLUSE9972B","Tutorial","Monday","12:10","13:00","5327","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 1)/06","MATH08068_SV1_SEM1","#SPLUSE9972D","Tutorial","Monday","12:10","13:00","5328","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 1)/07","MATH08068_SV1_SEM1","#SPLUSE9972F","Tutorial","Monday","12:10","13:00","5205","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 1)/08","MATH08068_SV1_SEM1","#SPLUSE9975C","Tutorial","Monday","14:10","15:00","5326","2020-Facets-Mon-14:00"
"MATH2 FoM - Tut (Suite 1)/09","MATH08068_SV1_SEM1","#SPLUSE9975E","Tutorial","Monday","14:10","15:00","5327","2020-Facets-Mon-14:00"
"MATH2 FoM - Tut (Suite 1)/10","MATH08068_SV1_SEM1","#SPLUSE99760","Tutorial","Monday","14:10","15:00","5328","2020-Facets-Mon-14:00"
"MATH2 FoM - Tut (Suite 1)/11","MATH08068_SV1_SEM1","#SPLUSE99762","Tutorial","Monday","14:10","15:00","5205","2020-Facets-Mon-14:00"
"MATH2 FoM - Tut (Suite 2)/12","MATH08068_SV1_SEM1","#SPLUSE99771","Tutorial","Monday","15:30","16:30","3217 - Teaching Studio","2020-Facets-Mon-15:30"
